date,num_logs,num_anomalies
2005-11-21-14,21778,1422
2005-11-21-15,16578,558
2005-11-21-16,11324,0
2005-11-21-17,9041,0
2005-11-21-18,17860,1
2005-11-21-19,11594,0
2005-11-21-20,10171,0
2005-11-21-21,16227,0
2005-11-21-22,14270,2
2005-11-21-23,10956,6
2005-11-22-00,9616,0
2005-11-22-01,11939,0
2005-11-22-02,13450,2
2005-11-22-03,11912,0
2005-11-22-04,10553,0
2005-11-22-05,12955,3
2005-11-22-06,12760,0
2005-11-22-07,9552,0
2005-11-22-08,9231,0
2005-11-22-09,9652,0
2005-11-22-10,9222,0
2005-11-22-11,8989,0
2005-11-22-12,10915,0
2005-11-22-13,10238,0
2005-11-22-14,10851,0
2005-11-22-15,12872,0
2005-11-22-16,62809,1
2005-11-22-17,94145,2
2005-11-22-18,2078,0
2005-11-22-19,2873,0
2005-11-22-20,1881,0
2005-11-22-21,758986,0
2005-11-22-22,228293,1
2005-11-22-23,45636,0
2005-11-23-00,151726,1
2005-11-23-01,8716,0
2005-11-23-02,11067,0
2005-11-23-03,4647,2
2005-11-23-04,10976,0
2005-11-23-05,11402,0
2005-11-23-06,14216,3
2005-11-23-07,12297,0
2005-11-23-08,12236,0
2005-11-23-09,11347,0
2005-11-23-10,12394,0
2005-11-23-11,10766,0
2005-11-23-12,21486,0
2005-11-23-13,20248,0
2005-11-23-14,18009,318
2005-11-23-15,18598,463
2005-11-23-16,17428,502
2005-11-23-17,10573,0
2005-11-23-18,17133,0
2005-11-23-19,14351,0
2005-11-23-20,8911,0
2005-11-23-21,12099,0
2005-11-23-22,15193,0
2005-11-23-23,12738,0
2005-11-24-00,13480,0
2005-11-24-01,6292,0
2005-11-24-02,6732,0
2005-11-24-03,6264,0
2005-11-24-04,5818,0
2005-11-24-05,6290,0
2005-11-24-06,6488,0
2005-11-24-07,7314,5
2005-11-24-08,7390,0
2005-11-24-09,6987,0
2005-11-24-10,6872,0
2005-11-24-11,6648,0
2005-11-24-12,7929,0
2005-11-24-13,7437,0
2005-11-24-14,7440,0
2005-11-24-15,7270,0
2005-11-24-16,7523,0
2005-11-24-17,7464,0
2005-11-24-18,14046,1
2005-11-24-19,9749,0
2005-11-24-20,7593,0
2005-11-24-21,11599,0
2005-11-24-22,10313,0
2005-11-24-23,7760,0
2005-11-25-00,7939,0
2005-11-25-01,8907,0
2005-11-25-02,8836,0
2005-11-25-03,8977,0
2005-11-25-04,9652,0
2005-11-25-05,9378,0
2005-11-25-06,1846,0
2005-11-25-07,98,0
2005-11-28-22,29,0
2005-11-28-23,30544,0
2005-11-29-00,430,0
2005-11-29-06,5,0
2005-11-29-08,2,0
2005-11-29-09,3,0
2005-11-29-10,3,0
2005-11-29-11,2,0
2005-11-29-12,3,0
2005-11-29-13,2,0
2005-11-29-14,3,0
2005-11-29-18,4997,0
2005-11-29-19,227574,0
2005-11-29-20,4808,0
2005-11-29-21,3031,0
2005-11-29-22,3666,0
2005-11-29-23,7506,0
2005-11-30-00,5293,0
2005-11-30-01,5028,0
2005-11-30-02,5343,0
2005-11-30-03,5111,0
2005-11-30-04,5183,0
2005-11-30-05,6393,0
2005-11-30-06,6535,0
2005-11-30-07,6359,0
2005-11-30-08,6279,0
2005-11-30-09,6986,0
2005-11-30-10,6208,0
2005-11-30-11,7374,0
2005-11-30-12,21781,0
2005-11-30-13,6593,0
2005-11-30-14,6606,0
2005-11-30-15,7037,0
2005-11-30-16,7228,0
2005-11-30-17,7543,0
2005-11-30-18,38041,0
2005-11-30-19,7619,0
2005-11-30-20,28552,0
2005-11-30-21,17126,0
2005-11-30-22,6505,0
2005-11-30-23,10098,0
2005-12-01-00,11824,0
2005-12-01-01,6470,0
2005-12-01-02,6176,0
2005-12-01-03,5877,0
2005-12-01-04,5938,0
2005-12-01-05,5486,0
2005-12-01-06,5541,0
2005-12-01-07,5288,0
2005-12-01-08,4915,0
2005-12-01-09,7307,619
2005-12-01-10,10981,1512
2005-12-01-11,11742,1506
2005-12-01-12,27290,1473
2005-12-01-13,10857,1470
2005-12-01-14,10795,1493
2005-12-01-15,11348,822
2005-12-01-16,8137,0
2005-12-01-17,11447,0
2005-12-01-18,23396,0
2005-12-01-19,9419,0
2005-12-01-20,6141,0
2005-12-01-21,10119,0
2005-12-01-22,5019,0
2005-12-01-23,5735,0
2005-12-02-00,4960,0
2005-12-02-01,5866,0
2005-12-02-02,4794,0
2005-12-02-03,4699,0
2005-12-02-04,5063,0
2005-12-02-05,4839,0
2005-12-02-06,4874,0
2005-12-02-07,4859,0
2005-12-02-08,4624,0
2005-12-02-09,4629,0
2005-12-02-10,4838,0
2005-12-02-11,5656,0
2005-12-02-12,18397,0
2005-12-02-13,5178,0
2005-12-02-14,5793,0
2005-12-02-15,6632,14
2005-12-02-16,7407,1
2005-12-02-17,6818,1
2005-12-02-18,23181,14
2005-12-02-19,15644,392
2005-12-02-20,6393,0
2005-12-02-21,7673,0
2005-12-02-22,9288,0
2005-12-02-23,5533,0
2005-12-03-00,27298,812
2005-12-03-01,14687,0
2005-12-03-02,5694,0
2005-12-03-03,5570,0
2005-12-03-04,4413,1
2005-12-03-05,4907,0
2005-12-03-06,5155,0
2005-12-03-07,4781,0
2005-12-03-08,2591,0
2005-12-03-09,2127,0
2005-12-03-10,2621,0
2005-12-03-11,3431,0
2005-12-03-12,14747,0
2005-12-03-13,5103,3
2005-12-03-14,5008,0
2005-12-03-15,4833,0
2005-12-03-16,4397,0
2005-12-03-17,6164,0
2005-12-03-18,5917,0
2005-12-03-19,5868,0
2005-12-03-20,5800,0
2005-12-03-21,5175,0
2005-12-03-22,5762,0
2005-12-03-23,6687,0
2005-12-04-00,7006,0
2005-12-04-01,5717,0
2005-12-04-02,5956,0
2005-12-04-03,5561,0
2005-12-04-04,6455,109
2005-12-04-05,8908,709
2005-12-04-06,5864,0
2005-12-04-07,5486,0
2005-12-04-08,5587,0
2005-12-04-09,5707,14
2005-12-04-10,5543,0
2005-12-04-11,6437,0
2005-12-04-12,27869,5
2005-12-04-13,6321,0
2005-12-04-14,6448,0
2005-12-04-15,6904,0
2005-12-04-16,6929,0
2005-12-04-17,7350,1
2005-12-04-18,8616,3
2005-12-04-19,6220,0
2005-12-04-20,6960,0
2005-12-04-21,6865,0
2005-12-04-22,6549,0
2005-12-04-23,6022,121
2005-12-05-00,11404,1440
2005-12-05-01,11749,1440
2005-12-05-02,11799,1439
2005-12-05-03,9033,757
2005-12-05-04,6115,0
2005-12-05-05,6410,0
2005-12-05-06,6953,0
2005-12-05-07,6990,0
2005-12-05-08,6870,0
2005-12-05-09,7334,0
2005-12-05-10,8537,0
2005-12-05-11,7671,0
2005-12-05-12,19625,0
2005-12-05-13,7701,0
2005-12-05-14,7514,0
2005-12-05-15,5650,18
2005-12-05-16,5785,0
2005-12-05-17,11473,152
2005-12-05-18,11256,1
2005-12-05-19,6384,0
2005-12-05-20,6221,1
2005-12-05-21,17653,0
2005-12-05-22,21096,0
2005-12-05-23,9636,0
2005-12-06-00,7490,3
2005-12-06-01,4882,0
2005-12-06-02,5412,0
2005-12-06-03,5621,0
2005-12-06-04,6013,0
2005-12-06-05,5520,0
2005-12-06-06,6051,0
2005-12-06-07,5619,0
2005-12-06-08,5523,0
2005-12-06-09,5222,0
2005-12-06-10,5505,0
2005-12-06-11,5881,1
2005-12-06-12,17134,0
2005-12-06-13,5293,0
2005-12-06-14,4960,0
2005-12-06-15,6235,0
2005-12-06-16,7921,0
2005-12-06-17,51107,1
2005-12-06-18,79776,0
2005-12-06-19,83850,10
2005-12-06-20,156487,0
2005-12-06-21,44832,0
2005-12-06-22,18345,60
2005-12-06-23,33382,703
2005-12-07-00,8222,0
2005-12-07-01,7321,0
2005-12-07-02,6674,0
2005-12-07-03,6671,0
2005-12-07-04,6807,0
2005-12-07-05,6367,0
2005-12-07-06,4826,0
2005-12-07-07,6782,0
2005-12-07-08,7555,0
2005-12-07-09,6515,0
2005-12-07-10,6342,0
2005-12-07-11,8041,0
2005-12-07-12,25992,1373
2005-12-07-13,12495,1441
2005-12-07-14,12606,1440
2005-12-07-15,10155,738
2005-12-07-16,9303,0
2005-12-07-17,27268,2
2005-12-07-18,26682,1
2005-12-07-19,31034,1
2005-12-07-20,6843,0
2005-12-07-21,7911,0
2005-12-07-22,15659,0
2005-12-07-23,11211,0
2005-12-08-00,5769,0
2005-12-08-01,5528,0
2005-12-08-02,5610,0
2005-12-08-03,5645,1
2005-12-08-04,5884,0
2005-12-08-05,6208,0
2005-12-08-06,6261,0
2005-12-08-07,6795,0
2005-12-08-08,7592,0
2005-12-08-09,7596,0
2005-12-08-10,7595,0
2005-12-08-11,7898,0
2005-12-08-12,17986,3
2005-12-08-13,8654,0
2005-12-08-14,8606,0
2005-12-08-15,8673,0
2005-12-08-16,11372,0
2005-12-08-17,10419,0
2005-12-08-18,41769,2
2005-12-08-19,28234,2
2005-12-08-20,210766,1
2005-12-08-21,9692,7
2005-12-08-22,5180,0
2005-12-08-23,6074,0
2005-12-09-00,10228,10
2005-12-09-01,9945,4
2005-12-09-02,11380,196
2005-12-09-03,10071,0
2005-12-09-04,6737,0
2005-12-09-05,5997,0
2005-12-09-06,6346,0
2005-12-09-07,6908,0
2005-12-09-08,6114,0
2005-12-09-09,6383,0
2005-12-09-10,6492,0
2005-12-09-11,6441,0
2005-12-09-12,15172,0
2005-12-09-13,7900,0
2005-12-09-14,7622,0
2005-12-09-15,10833,0
2005-12-09-16,40246,4
2005-12-09-17,5465,0
2005-12-09-18,7727,0
2005-12-09-19,7846,0
2005-12-09-20,17631,0
2005-12-09-21,18721,0
2005-12-09-22,8901,0
2005-12-09-23,6890,0
2005-12-10-00,11021,12
2005-12-10-01,8289,0
2005-12-10-02,7266,2
2005-12-10-03,7003,1
2005-12-10-04,6374,0
2005-12-10-05,5747,0
2005-12-10-06,5977,0
2005-12-10-07,5948,0
2005-12-10-08,5790,0
2005-12-10-09,5712,1
2005-12-10-10,6056,0
2005-12-10-11,5758,0
2005-12-10-12,15101,4
2005-12-10-13,6055,0
2005-12-10-14,6023,0
2005-12-10-15,6023,0
2005-12-10-16,5838,0
2005-12-10-17,6542,0
2005-12-10-18,6554,0
2005-12-10-19,5714,0
2005-12-10-20,5564,0
2005-12-10-21,6939,1
2005-12-10-22,6441,0
2005-12-10-23,7906,0
2005-12-11-00,7298,0
2005-12-11-01,7318,0
2005-12-11-02,16297,0
2005-12-11-03,24225,0
2005-12-11-04,11447,0
2005-12-11-05,12052,0
2005-12-11-06,9364,1
2005-12-11-07,13067,0
2005-12-11-08,8676,0
2005-12-11-09,8670,0
2005-12-11-10,9241,1
2005-12-11-11,8987,0
2005-12-11-12,34840,0
2005-12-11-13,16383,0
2005-12-11-14,17061,0
2005-12-11-15,28542,0
2005-12-11-16,16242,0
2005-12-11-17,17573,1
2005-12-11-18,35766,0
2005-12-11-19,22245,0
2005-12-11-20,14230,0
2005-12-11-21,24081,0
2005-12-11-22,14380,0
2005-12-11-23,15212,0
2005-12-12-00,12043,0
2005-12-12-01,28154,0
2005-12-12-02,20168,0
2005-12-12-03,17800,0
2005-12-12-04,29840,0
2005-12-12-05,20518,0
2005-12-12-06,22889,0
2005-12-12-07,14590,0
2005-12-12-08,18745,0
2005-12-12-09,22861,0
2005-12-12-10,21026,0
2005-12-12-11,16584,0
2005-12-12-12,41216,0
2005-12-12-13,20762,0
2005-12-12-14,40079,2
2005-12-12-15,22694,2
2005-12-12-16,11828,0
2005-12-12-17,8600,0
2005-12-12-18,26549,0
2005-12-12-19,11715,18
2005-12-12-20,23317,0
2005-12-12-21,35381,0
2005-12-12-22,25318,1
2005-12-12-23,23449,5
2005-12-13-00,63825,7
2005-12-13-01,50125,0
2005-12-13-02,7207,0
2005-12-13-03,7498,0
2005-12-13-04,7325,0
2005-12-13-05,7321,0
2005-12-13-06,7270,0
2005-12-13-07,7211,26
2005-12-13-08,6920,0
2005-12-13-09,7432,0
2005-12-13-10,7572,0
2005-12-13-11,7263,0
2005-12-13-12,15917,3
2005-12-13-13,9549,0
2005-12-13-14,9452,0
2005-12-13-15,10077,0
2005-12-13-16,17139,0
2005-12-13-17,32923,3
2005-12-13-18,51422,0
2005-12-13-19,59195,0
2005-12-13-20,24658,0
2005-12-13-21,26494,0
2005-12-13-22,6724,0
2005-12-13-23,6553,0
2005-12-14-00,6542,1
2005-12-14-01,6273,0
2005-12-14-02,6662,0
2005-12-14-03,6566,0
2005-12-14-04,6367,0
2005-12-14-05,7946,0
2005-12-14-06,8232,0
2005-12-14-07,7307,0
2005-12-14-08,8552,0
2005-12-14-09,8800,0
2005-12-14-10,9621,0
2005-12-14-11,9386,0
2005-12-14-12,18383,0
2005-12-14-13,9415,6
2005-12-14-14,9915,1
2005-12-14-15,15045,3
2005-12-14-16,105981,1
2005-12-14-17,9117,1
2005-12-14-18,48851,3
2005-12-14-19,9613,0
2005-12-14-20,24405,0
2005-12-14-21,43271,0
2005-12-14-22,6891,0
2005-12-14-23,9905,0
2005-12-15-00,11747,1
2005-12-15-01,8859,0
2005-12-15-02,6547,0
2005-12-15-03,6186,0
2005-12-15-04,6433,0
2005-12-15-05,7147,0
2005-12-15-06,7717,0
2005-12-15-07,7679,0
2005-12-15-08,7965,0
2005-12-15-09,8063,0
2005-12-15-10,7862,0
2005-12-15-11,8054,0
2005-12-15-12,17230,0
2005-12-15-13,9477,0
2005-12-15-14,9824,0
2005-12-15-15,11227,5
2005-12-15-16,24846,24
2005-12-15-17,115310,1
2005-12-15-18,28144,0
2005-12-15-19,8977,0
2005-12-15-20,8253,14
2005-12-15-21,7031,0
2005-12-15-22,7026,0
2005-12-15-23,6666,0
2005-12-16-00,7230,0
2005-12-16-01,6901,0
2005-12-16-02,6437,0
2005-12-16-03,6543,0
2005-12-16-04,6399,0
2005-12-16-05,6864,2
2005-12-16-06,6923,0
2005-12-16-07,7233,0
2005-12-16-08,7656,0
2005-12-16-09,6621,0
2005-12-16-10,6692,0
2005-12-16-11,6879,0
2005-12-16-12,19214,7
2005-12-16-13,6032,0
2005-12-16-14,7022,0
2005-12-16-15,6387,0
2005-12-16-16,28310,13
2005-12-16-17,53391,1
2005-12-16-18,19008,1
2005-12-16-19,23528,2
2005-12-16-20,6406,1
2005-12-16-21,6497,0
2005-12-16-22,7395,0
2005-12-16-23,6612,0
2005-12-17-00,6787,0
2005-12-17-01,6639,0
2005-12-17-02,6652,0
2005-12-17-03,7213,0
2005-12-17-04,6405,0
2005-12-17-05,6864,0
2005-12-17-06,7629,0
2005-12-17-07,7093,0
2005-12-17-08,5457,2
2005-12-17-09,6396,0
2005-12-17-10,6926,0
2005-12-17-11,7914,0
2005-12-17-12,21716,2
2005-12-17-13,8352,0
2005-12-17-14,8314,0
2005-12-17-15,8338,0
2005-12-17-16,8663,0
2005-12-17-17,8152,0
2005-12-17-18,8375,0
2005-12-17-19,8366,0
2005-12-17-20,8166,0
2005-12-17-21,8177,0
2005-12-17-22,8464,0
2005-12-17-23,8123,0
2005-12-18-00,8146,0
2005-12-18-01,9148,0
2005-12-18-02,9065,0
2005-12-18-03,9120,0
2005-12-18-04,9231,0
2005-12-18-05,9307,0
2005-12-18-06,9217,0
2005-12-18-07,8107,0
2005-12-18-08,8918,0
2005-12-18-09,9114,0
2005-12-18-10,9152,0
2005-12-18-11,10458,0
2005-12-18-12,34554,0
2005-12-18-13,10622,0
2005-12-18-14,10792,0
2005-12-18-15,10853,0
2005-12-18-16,10658,1
2005-12-18-17,10644,0
2005-12-18-18,10841,0
2005-12-18-19,10685,0
2005-12-18-20,10584,0
2005-12-18-21,10664,0
2005-12-18-22,10847,0
2005-12-18-23,10561,0
2005-12-19-00,10594,0
2005-12-19-01,10595,0
2005-12-19-02,10493,0
2005-12-19-03,10618,0
2005-12-19-04,10585,0
2005-12-19-05,10379,0
2005-12-19-06,11562,0
2005-12-19-07,11311,0
2005-12-19-08,11326,0
2005-12-19-09,11445,0
2005-12-19-10,11562,0
2005-12-19-11,14211,0
2005-12-19-12,23914,0
2005-12-19-13,11609,0
2005-12-19-14,11817,0
2005-12-19-15,11960,0
2005-12-19-16,16617,979
2005-12-19-17,13614,1800
2005-12-19-18,58404,1795
2005-12-19-19,12624,1800
2005-12-19-20,18003,1800
2005-12-19-21,15506,1801
2005-12-19-22,13001,1800
2005-12-19-23,13707,1800
2005-12-20-00,14957,1800
2005-12-20-01,17199,2756
2005-12-20-02,19281,3251
2005-12-20-03,19587,3251
2005-12-20-04,19434,3248
2005-12-20-05,19488,3240
2005-12-20-06,19628,3246
2005-12-20-07,19082,3192
2005-12-20-08,18989,3235
2005-12-20-09,19939,3252
2005-12-20-10,20018,3256
2005-12-20-11,23650,3246
2005-12-20-12,32812,3236
2005-12-20-13,20798,3240
2005-12-20-14,23205,3244
2005-12-20-15,21517,3240
2005-12-20-16,21684,2964
2005-12-20-17,22861,1801
2005-12-20-18,12482,1800
2005-12-20-19,12761,1800
2005-12-20-20,12516,1800
2005-12-20-21,12691,1800
2005-12-20-22,12711,1800
2005-12-20-23,80957,1771
2005-12-21-00,12499,1800
2005-12-21-01,12526,1800
2005-12-21-02,12563,1800
2005-12-21-03,12428,1800
2005-12-21-04,12870,1800
2005-12-21-05,13561,1800
2005-12-21-06,13520,1800
2005-12-21-07,13605,1859
2005-12-21-08,14064,1800
2005-12-21-09,14105,1800
2005-12-21-10,14307,1800
2005-12-21-11,16481,1800
2005-12-21-12,22014,1783
2005-12-21-13,14346,1800
2005-12-21-14,14284,1800
2005-12-21-15,14937,1800
2005-12-21-16,15312,1800
2005-12-21-17,16189,1800
2005-12-21-18,15131,1800
2005-12-21-19,17891,1800
2005-12-21-20,42933,1800
2005-12-21-21,41791,1800
2005-12-21-22,38512,1800
2005-12-21-23,19058,1794
2005-12-22-00,16318,1800
2005-12-22-01,17082,1800
2005-12-22-02,22520,1800
2005-12-22-03,38897,1794
2005-12-22-04,17724,1800
2005-12-22-05,35922,1800
2005-12-22-06,64647,1800
2005-12-22-07,18037,1800
2005-12-22-08,17858,1800
2005-12-22-09,18209,1801
2005-12-22-10,18133,1800
2005-12-22-11,20959,1800
2005-12-22-12,24245,1779
2005-12-22-13,18338,1800
2005-12-22-14,22344,1800
2005-12-22-15,23219,1812
2005-12-22-16,25538,1824
2005-12-22-17,72041,1832
2005-12-22-18,63927,1812
2005-12-22-19,22405,1800
2005-12-22-20,20772,1800
2005-12-22-21,42628,1800
2005-12-22-22,24489,1800
2005-12-22-23,116454,1800
2005-12-23-00,26264,1800
2005-12-23-01,29310,1800
2005-12-23-02,109690,1800
2005-12-23-03,18770,1800
2005-12-23-04,19159,1800
2005-12-23-05,170222,1805
2005-12-23-06,183979,1800
2005-12-23-07,33623,1800
2005-12-23-08,19310,1800
2005-12-23-09,19216,1800
2005-12-23-10,19591,1800
2005-12-23-11,22046,1800
2005-12-23-12,25570,1783
2005-12-23-13,26105,1800
2005-12-23-14,19366,1800
2005-12-23-15,23326,1800
2005-12-23-16,29291,1800
2005-12-23-17,26959,1800
2005-12-23-18,25557,1803
2005-12-23-19,20775,1800
2005-12-23-20,12852,1800
2005-12-23-21,14224,1800
2005-12-23-22,13429,1800
2005-12-23-23,18161,1800
2005-12-24-00,17567,1800
2005-12-24-01,17442,1800
2005-12-24-02,18498,1800
2005-12-24-03,18385,1799
