Unnamed: 0,timestamp,text,label,filename,clusters,tfidf_text,p-3-0,p-7-0,p-9-0,p-9-1,p-9-2,p-10-0,p-13-0,p-13-1,p-14-0,p-14-1,p-14-2,p-14-3,p-15-0,p-15-1,p-15-2,p-15-3,p-15-4,p-15-5,p-15-6,p-15-7,p-15-8,p-15-9,p-15-10,p-15-11,p-15-12,p-15-13,p-15-14,p-15-15,p-15-16,p-15-17,p-16-0,p-16-1,p-16-2,p-16-3,p-16-4,p-16-5,p-18-0,p-18-1,p-19-0,p-19-1,p-19-2,p-19-3,p-19-4,p-19-5,p-19-6,p-19-7,p-24-0,p-28-0,p-30-0,p-32-0,p-36-0,p-36-1,p-36-2,p-36-3,p-36-4,p-37-0,cluster2
51937,1121598088240.905,RAS KERNEL INFO generating core.62909,False,R24-M0-N2-C:J10-U11,0,RAS KERNEL INFO generating ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
90990,1133447905296.658,RAS KERNEL INFO 0 microseconds spent in the rbs signal handler during 0 calls. 0 microseconds was the maximum time for a single instance of a correctable ddr.,False,R35-M1-N9-C:J06-U11,9,RAS KERNEL INFO  microseconds spent in the rbs signal handler during  calls.  microseconds was the maximum time for a single instance of a correctable ddr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
37506,1120934643806.427,RAS KERNEL INFO generating core.16104,False,R17-M1-N1-C:J15-U11,0,RAS KERNEL INFO generating ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
11474,1118768183645.643,RAS KERNEL FATAL data address: 0x00000002,False,R24-M0-N6-C:J13-U01,8,RAS KERNEL FATAL data address: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
76592,1131059657741.6848,RAS KERNEL INFO iar 001061dc dear 0244c28c,False,R66-M0-NC-C:J17-U01,19,RAS KERNEL INFO iar 001061dc dear ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31
45672,1121256618832.962,RAS KERNEL INFO generating core.50577,False,R35-M1-N7-C:J10-U01,0,RAS KERNEL INFO generating ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
26588,1120216095423.224,RAS KERNEL INFO generating core.28798,False,R20-M0-N6-C:J09-U11,0,RAS KERNEL INFO generating ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
23583,1119897258345.724,RAS KERNEL INFO generating core.336,False,R22-M0-NB-C:J15-U01,0,RAS KERNEL INFO generating ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
18981,1119511592963.5,"RAS APP FATAL ciod: Error loading /p/gb2/curioni1/RUN_MED/cpmd.x: invalid or missing program image, No such file or directory",False,R25-M1-N4-I:J18-U01,24,"RAS APP FATAL ciod: Error loading ////RUN_MED/cmd.x: invalid or missing rogram image, No such file or directory",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
77081,1131061780112.3828,RAS KERNEL INFO iar 00106534 dear 045e145c,False,R64-M0-ND-C:J06-U01,19,RAS KERNEL INFO iar  dear ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106534.0,,,,,,,,,,,,,,,,,,7
82495,1131128069793.75,RAS KERNEL INFO iar 00106208 dear 0245a1cc,False,R62-M0-N6-C:J08-U11,19,RAS KERNEL INFO iar  dear ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106208.0,,,,,,,,,,,,,,,,,,7
38561,1120957081683.366,RAS KERNEL INFO generating core.3655,False,R04-M1-NA-C:J04-U01,0,RAS KERNEL INFO generating ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
27099,1120216130960.96,RAS KERNEL INFO generating core.16354,False,R32-M1-N1-C:J07-U01,0,RAS KERNEL INFO generating ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
69385,1127243346920.74,"RAS MMCS ERROR idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)",False,,5,"RAS MMCS ERROR idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
63826,1123041351042.191,NULL DISCOVERY ERROR Node card status: no ALERTs are active. Clock Mode is Low. Clock Select is Midplane. Phy JTAG Reset is asserted. ASIC JTAG Reset is asserted. Temperature Mask is not active. No temperature error. Temperature Limit Error Latch is clear. PGOOD IS NOT ASSERTED. PGOOD ERROR LATCH IS ACTIVE. MPGOOD IS NOT OK. MPGOOD ERROR LATCH IS ACTIVE. The 2.5 volt rail is OK. The 1.5 volt rail is OK.,False,UNKNOWN_LOCATION,36,NULL DISCOVERY ERROR Node card status: no ALERTs are active. Clock Mode is Low. Clock Select is Midplane. Phy JTAG Reset is asserted. ASIC JTAG Reset is asserted. Temperature Mask is not active. No temperature error. Temperature Limit Error Latch is clear. PGOOD IS NOT ASSERTED. PGOOD ERROR LATCH IS ACTIVE. MPGOOD IS NOT OK. MPGOOD ERROR LATCH IS ACTIVE. The  volt rail is OK. The  volt rail is OK.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,1.5,,,,,38
70002,1127243416234.6448,"RAS MMCS ERROR idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)",False,,5,"RAS MMCS ERROR idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
86178,1131581441694.646,RAS KERNEL INFO iar 00106ba0 dear 0246de6c,False,R62-M0-N0-C:J05-U11,19,RAS KERNEL INFO iar  dear ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
44476,1121124356927.402,"NULL DISCOVERY WARNING Node card VPD check: U11 node in processor card slot J04 do not match. VPD ecid 04DF7DF2D27BFFFF040B1B1114D5, found 04E081A2CD2FFFFF01091AF120D4",False,R05-M0-N7,36,"NULL DISCOVERY WARNING Node card VPD check: U11 node in processor card slot J04 do not match. VPD ecid 04DF7DF2D27BFFFF040B1B1114D5, found 04E081A2CD2FFFFF01091AF120D4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38
32452,1120469739469.817,RAS KERNEL INFO generating core.4815,False,R25-M1-N6-C:J02-U01,0,RAS KERNEL INFO generating ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
44385,1121124234868.707,NULL DISCOVERY WARNING Node card is not fully functional,False,R05-M0-N6,36,NULL DISCOVERY WARNING Node card is not fully functional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38
66996,1125084515279.484,RAS KERNEL INFO iar 003a9260 dear 00e24c28,False,R77-M0-NC-C:J13-U01,7,RAS KERNEL INFO iar 003a9260 dear ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
52049,1121776084934.391,"RAS KERNEL FATAL rts: kernel terminated for reason 1001rts: bad message header: invalid cpu, type=9720, cpu=127, index=268892392, total=268694848",True,R04-M0-N5-C:J16-U01,15,"RAS KERNEL FATAL rts: kernel terminated for reason 1001rts: bad message header: invalid cpu, type=, cpu=, index=, total=",,,,,,,,,,,,,9720.0,127.0,268892392.0,268694848.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26
30347,1120353697435.694,"RAS KERNEL INFO CE sym 27, at 0x0b856740, mask 0x40",False,R32-M0-N3-C:J13-U01,13,"RAS KERNEL INFO CE sym , at , mask ",,,,,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
59174,1122255888039.4958,RAS KERNEL INFO generating core.30288,False,R36-M1-NB-C:J15-U01,0,RAS KERNEL INFO generating ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
3361,1118206039828.774,RAS KERNEL INFO instruction cache parity error corrected,False,R02-M1-N0-C:J12-U11,21,RAS KERNEL INFO instruction cache parity error corrected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21
74397,1131057888660.558,RAS KERNEL INFO iar 00106210 dear 0244c20c,False,R60-M1-N0-C:J08-U01,34,RAS KERNEL INFO iar 00106210 dear 0244c20c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34
55312,1122147263362.155,RAS KERNEL INFO 15 floating point alignment exceptions,False,R00-M0-N4-C:J10-U11,26,RAS KERNEL INFO 15 floating point alignment exceptions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36
49214,1121496502466.961,RAS KERNEL INFO generating core.6178,False,R00-M0-N9-C:J08-U11,0,RAS KERNEL INFO generating ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
93049,1133877035272.277,"RAS APP FATAL ciod: Error loading /bgl/apps/SWL/functional/linpack-128x512-rel2/xhpl.500: invalid or missing program image, Permission denied",False,R25-M0-N0-I:J18-U01,24,"RAS APP FATAL ciod: Error loading /bgl/apps/SWL/functional/linpack-128x512-rel2/xhpl.500: invalid or missing program image, Permission denied",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
59125,1122255886595.9312,RAS KERNEL INFO generating core.50102,False,R33-M1-N6-C:J08-U11,0,RAS KERNEL INFO generating ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
82619,1131128071761.136,RAS KERNEL INFO iar 00106588 dear 0245a20c,False,R62-M0-N2-C:J09-U01,19,RAS KERNEL INFO iar  dear ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106588.0,,,,,,,,,,,,,,,,,,7
91871,1133454627287.717,"RAS KERNEL INFO 10684 total interrupts. 0 critical input interrupts. 0 microseconds total spent on critical input interrupts, 0 microseconds max time in a critical input interrupt.",False,R02-M1-NC-C:J04-U11,3,"RAS KERNEL INFO  total interrupts.  critical input interrupts.  microseconds total spent on critical input interrupts,  microseconds max time in a critical input interrupt.",10684.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
88401,1133423356110.6018,"RAS KERNEL INFO CE sym 23, at 0x11bfe860, mask 0x01",False,R70-M0-NF-C:J05-U11,13,"RAS KERNEL INFO CE sym , at , mask ",,,,,,,23.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
81488,1131125975819.218,RAS KERNEL INFO iar 00106b8c dear 0245ce2c,False,R62-M0-NA-C:J04-U11,19,RAS KERNEL INFO iar  dear ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
19070,1119715739250.761,RAS KERNEL INFO generating core.11752,False,R15-M1-N5-C:J15-U11,0,RAS KERNEL INFO generating ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
92100,1133457255392.284,"RAS KERNEL INFO 920 total interrupts. 0 critical input interrupts. 0 microseconds total spent on critical input interrupts, 0 microseconds max time in a critical input interrupt.",False,R47-M1-N8-C:J02-U01,3,"RAS KERNEL INFO  total interrupts.  critical input interrupts.  microseconds total spent on critical input interrupts,  microseconds max time in a critical input interrupt.",920.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
75129,1131058387273.31,RAS KERNEL INFO iar 001061dc dear 0244c25c,False,R66-M0-N5-C:J17-U11,19,RAS KERNEL INFO iar 001061dc dear ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31
39129,1120968451332.24,RAS KERNEL INFO generating core.9147,False,R23-M0-NF-C:J03-U11,0,RAS KERNEL INFO generating ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
18531,1119488922160.241,"RAS KERNEL INFO CE sym 6, at 0x0795ad60, mask 0x80",False,R00-M1-NF-C:J13-U11,13,"RAS KERNEL INFO CE sym , at 0x0795ad0, mask ",,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
56172,1122162194650.5498,RAS KERNEL INFO 5 floating point alignment exceptions,False,R23-M1-N7-C:J07-U11,12,RAS KERNEL INFO 5 floating point alignment exceptions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
28741,1120216240548.231,RAS KERNEL INFO generating core.2652,False,R20-M1-N2-C:J14-U11,0,RAS KERNEL INFO generating ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
61275,1122578027148.875,RAS KERNEL INFO generating core.13077,False,R36-M1-NE-C:J10-U11,0,RAS KERNEL INFO generating ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
15374,1118771712171.522,RAS KERNEL FATAL program interrupt: fp cr update.............0,False,R21-M0-N8-C:J15-U11,18,RAS KERNEL FATAL program interrupt: fp cr update.............0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
42043,1121006810748.809,RAS KERNEL INFO generating core.2592,False,R30-M0-NB-C:J15-U01,0,RAS KERNEL INFO generating ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
64344,1123110638258.495,"RAS MMCS ERROR idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)",False,,5,"RAS MMCS ERROR idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
767,1117973745465.73,RAS KERNEL INFO generating core.1978,False,R36-M0-N1-C:J07-U11,0,RAS KERNEL INFO generating ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
72163,1127244007606.575,NULL DISCOVERY INFO Ido chip status changed: FF:F2:9F:15:7D:4A:00:0D:60:EA:82:B5 ip=10.5.1.94 v=13 t=1 status=M Tue Sep 20 12:11:48 PDT 2005,False,UNKNOWN_LOCATION,16,NULL DISCOVERY INFO Ido chip status changed: FF:F2:9F::7D:4A::0D::EA::B5 ip= v= t= status=M Tue Sep  2:: PDT 25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,82.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,14
2407,1118172095322.783,RAS KERNEL INFO generating core.1291,False,R30-M0-NB-C:J02-U11,0,RAS KERNEL INFO generating ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
44121,1121119546630.712,RAS KERNEL INFO generating core.3,False,R02-M1-NF-C:J04-U01,19,RAS KERNEL INFO  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
61679,1122578038679.958,RAS KERNEL INFO generating core.4595,False,R33-M0-N7-C:J05-U11,0,RAS KERNEL INFO generating ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
67812,1125084538350.827,RAS KERNEL INFO iar 003a9260 dear 00e27d98,False,R73-M1-NC-C:J16-U11,7,RAS KERNEL INFO iar 003a9260 dear ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
84903,1131142360026.705,RAS KERNEL INFO iar 001066ac dear 0252523c,False,R62-M0-NA-C:J05-U01,19,RAS KERNEL INFO iar  dear ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
34043,1120776267954.905,RAS KERNEL INFO 619919040 double-hummer alignment exceptions,False,R36-M1-N2-C:J14-U11,30,RAS KERNEL INFO  double-hummer alignment exceptions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,619919040.0,,,,,,,,22
34983,1120776297788.456,RAS KERNEL INFO 635573232 double-hummer alignment exceptions,False,R36-M1-N9-C:J03-U11,30,RAS KERNEL INFO  double-hummer alignment exceptions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,635573232.0,,,,,,,,22
81509,1131125976229.036,RAS KERNEL INFO iar 00106b8c dear 0245cf1c,False,R62-M0-N2-C:J03-U11,19,RAS KERNEL INFO iar  dear ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
52001,1121773494381.391,RAS KERNEL INFO total of 3 ddr error(s) detected and corrected,False,R16-M1-N2-C:J16-U11,14,RAS KERNEL INFO total of  ddr error(s) detected and corrected,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
84000,1131141947218.762,RAS KERNEL INFO,False,R62-M0-N8-C:J08-U01,1,RAS KERNEL INFO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
10321,1118768035078.701,RAS KERNEL FATAL data storage interrupt,True,R05-M0-N7-C:J15-U01,27,RAS KERNEL FATAL data storage interrupt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28
93432,1133877942925.922,"RAS KERNEL INFO critical input interrupt (unit=0x0b bit=0x0b): warning for torus z- wire, suppressing further interrupts of same type",False,R31-M0-N8-C:J03-U11,19,"RAS KERNEL INFO    (= =):     ,   s   ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,11.0,,,,,,,,,,,,,,,,,1
76300,1131059653008.392,RAS KERNEL INFO iar 00106210 dear 0244c26c,False,R67-M1-NC-C:J12-U01,31,RAS KERNEL INFO iar 00106210 dear 0244c26c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33
17234,1119166454242.146,RAS KERNEL INFO generating core.1312,False,R01-M0-N5-C:J16-U01,0,RAS KERNEL INFO generating ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
36842,1120934343774.61,RAS KERNEL INFO generating core.47100,False,R23-M1-N2-C:J15-U11,0,RAS KERNEL INFO generating ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
24046,1120145381857.316,RAS KERNEL INFO generating core.26800,False,R30-M1-N5-C:J16-U11,0,RAS KERNEL INFO generating ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
70139,1127243417006.247,"RAS MMCS ERROR idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)",False,,5,"RAS MMCS ERROR idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
8919,1118558313426.837,RAS KERNEL FATAL data TLB error interrupt,True,R30-M0-N9-C:J16-U01,33,RAS KERNEL FATAL data TLB error interrupt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
93738,1133890516086.212,RAS KERNEL INFO total of 1 ddr error(s) detected and corrected over 3203 seconds,False,R02-M0-ND-C:J08-U01,14,RAS KERNEL INFO total of  ddr error(s) detected and corrected over  seconds,,,,,,,,,3203.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
27418,1120216138559.815,RAS KERNEL INFO generating core.81,False,R30-M0-N7-C:J12-U11,0,RAS KERNEL INFO generating ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
83184,1131139035799.4648,RAS KERNEL INFO iar 001066b4 dear 0252530c,False,R63-M0-ND-C:J03-U01,19,RAS KERNEL INFO iar  dear ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
48177,1121312161248.569,RAS KERNEL INFO generating core.12698,False,R22-M0-NF-C:J08-U11,0,RAS KERNEL INFO generating ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
70047,1127243416484.772,RAS MMCS ERROR Ido packet timeout,False,,19,RAS MMCS ERROR Ido  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
66992,1125084515238.065,RAS KERNEL INFO iar 003a929c dear 01298bf8,False,R67-M0-N4-C:J15-U01,19,RAS KERNEL INFO iar  dear ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
5382,1118539145099.271,RAS KERNEL FATAL data TLB error interrupt,True,R30-M0-N9-C:J16-U01,33,RAS KERNEL FATAL data TLB error interrupt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
52278,1121776090017.738,RAS KERNEL FATAL 4,False,R01-M0-NE-C:J02-U11,19,RAS KERNEL FATAL ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,37
